Acreage,Temperature,Humidity,Wind
63.0,43.258842,86.5,1.4272001
10.0,95.31465,17.8,3.2226434
67.0,79.659515,33.6,5.3097744
10.0,75.644066,25.1,3.3522196
10.0,64.8551,84.7,1.1953923
60.0,69.37044,36.7,4.583565
53.0,54.596184,55.2,2.5038798
10.0,62.85823,37.4,3.2528906
66.0,77.6517,30.1,2.4624531
63.0,46.349407,91.7,3.0791273
58.0,65.0288,70.9,2.6232095
55.0,35.020306,48.4,3.926574
55.0,94.91963,15.7,8.813647
10.0,74.20068,32.0,2.2085996
50.0,60.160652,22.7,18.619747
50.0,60.52001,86.0,5.811926
47.0,87.87427,21.4,4.6273184
0.0,53.885315,32.4,3.1313455
45.0,67.8324,27.5,1.6107068
42.0,72.49005,22.7,8.534293
35.0,65.32236,48.5,3.3985267
96949.0,55.510414,38.0,27.286427
30.0,46.857964,30.3,3.204409
30.0,83.62151,38.4,1.7255203
48920.0,62.14791,13.2,42.0599427
28.0,58.197174,71.5,1.9130194
36450.0,75.12359,31.1,5.8684855
15185.0,86.915985,17.4,10.233159
25.0,53.492004,60.9,3.9581275
4564.0,66.050415,50.5,3.9929006
20.0,61.779213,53.1,0.9706283
20.0,62.5944,54.5,4.809448
20.0,60.095444,91.9,0.80174506
19.0,55.98233,84.2,1.1309592
17.0,87.5627,34.2,5.255985
2100.0,92.31258,11.5,4.6508145
1756.0,62.321495,60.5,5.467226
16.0,83.06352,33.8,1.8112111
1751.0,59.27323,30.6,3.2485096
15.0,68.64099,38.2,2.5216978
13.0,79.538666,32.8,5.146919
1350.0,71.16005,20.1,6.1911597
12.0,72.36904,30.1,2.395666
11.0,68.29076,21.2,4.556126
1265.0,49.677383,35.8,3.6876254
11.0,72.10542,27.7,6.9767833
10.0,66.01257,79.5,4.052646
11.0,52.47824,42.9,0.6390087
10.0,55.97667,72.9,5.661537
10.0,85.696884,18.1,4.578009
668.0,77.40561,32.3,4.1176553
289.0,91.45114,10.1,2.329099
646.0,69.336815,31.3,2.6780324
573.0,64.91207,45.9,2.0651345
100.0,66.124466,35.7,2.963144
513.0,79.90781,22.3,4.284092
375.0,64.8645,67.8,1.3250865
347.0,61.823708,75.9,2.3332615
282.0,80.24547,64.7,3.2375696
268.0,68.96685,57.9,6.2106266
261.0,47.238365,18.0,1.3588283
258.0,47.074287,51.1,4.4831753
224.0,68.789474,36.5,0.76290864
215.0,80.52397,26.1,5.52975
191.0,62.521942,68.1,7.9957266
175.0,57.557327,85.5,7.746113
167.0,63.886665,22.3,6.202814
135.0,72.32317,52.9,0.69194573
115.0,57.235703,56.0,5.350137
100.0,88.147995,7.2,11.479263
96.0,65.040726,64.5,7.0782413
88.0,19.588196,61.4,4.71483
88.0,80.60428,22.2,5.4375577
70.0,68.98498,47.1,1.7016144
70.0,82.02559,34.7,5.572217
70.0,92.95632,16.0,3.860337
68.0,76.37548,46.0,7.509029
64.0,79.31279,27.7,10.895379
63.0,72.77499,36.1,5.497105
62.0,52.26225,70.4,2.0504239
60.0,54.602722,46.8,8.688285
60.0,51.950073,78.7,2.611384
60.0,46.21098,88.5,4.7192407
56.0,62.647842,65.6,4.7161345
53.0,66.69394,32.6,3.6344316
51.0,80.52623,39.6,1.3690476
48.0,55.5103,89.9,3.0021226
43.0,75.37248,32.2,1.8100502
39.0,57.502235,66.5,1.2893099
3800.0,65.706436,12.2,20.407795
36.0,63.81366,95.1,1.9350003
35.0,68.21335,49.7,6.4283953
34.0,80.67723,31.3,4.167282
32.0,72.47154,46.3,1.6911634
30.0,72.500656,75.5,1.5947475
30.0,69.28551,54.0,1.6260244
23.0,65.11246,48.2,4.8673067
111.0,78.29177,40.9,5.72933
105.0,58.225136,30.9,2.981073
105.0,64.40115,28.2,6.864423
20.0,49.988903,56.5,2.9681826
18.0,75.79826,49.4,6.873702
102.0,82.32068,40.4,6.677712
101.0,69.88899,65.3,3.7224386
17.0,54.829147,72.5,1.9860003
100.0,49.20816,74.6,1.0540085
17.0,81.465836,19.1,3.0614612
100.0,54.597282,34.8,3.8401208
100.0,58.385204,86.3,2.965026
100.0,75.90274,42.3,2.1240804
91.0,75.154625,41.1,2.0806663
14.0,73.318535,35.2,4.4286647
86.0,86.91549,13.7,5.6667194
12.0,72.924675,9.4,21.129429
80.0,54.294937,14.8,3.494811
12.0,59.578484,88.5,1.4181092
79.0,64.75057,45.4,4.217704
12.0,72.22759,38.3,3.3764715
78.0,71.38818,40.9,2.5682182
11.0,89.791435,17.1,3.8796022
74.0,87.58016,22.4,2.4668849
11141.0,47.35691,46.8,16.225615
74.0,87.31578,29.5,2.9051957
70.0,74.18706,36.4,3.64796
4210.0,54.581463,8.2,16.543125
10.0,69.840866,77.8,1.5545223
10.0,51.810986,94.3,3.0547304
10.0,89.92003,23.6,3.522722
67.0,70.15068,24.8,6.524024
10.0,65.58009,65.9,2.6103218
58.0,61.164307,25.2,1.777832
58.0,80.50513,19.7,1.0315152
1300.0,80.904205,26.8,6.909245
58.0,82.88895,27.5,10.770968
1011.0,55.103477,60.2,3.6043093
494.0,59.7062,8.6,24.909113
289.0,60.996597,49.5,2.4326744
289.0,60.996597,49.5,2.4326744
149.0,64.84033,69.9,2.1847448
40.0,58.814495,19.6,6.8830404
50.0,68.56816,23.3,1.5693493
35.0,84.99673,12.3,5.2178607
50.0,83.804214,30.8,2.781013
50.0,71.6295,40.4,3.7041926
35.0,71.524796,29.5,5.608477
50.0,88.10327,32.5,3.696357
25.0,78.0671,48.5,5.1067586
50.0,64.732445,42.6,2.045524
22.0,74.187004,64.8,2.449805
48.0,77.91208,50.4,5.5907874
12.0,71.32056,44.4,3.4272964
26.0,88.0195,14.5,4.7288136
48.0,79.64375,24.3,4.643744
54612.0,60.194103,65.8,1.8501999
45.0,45.049232,33.3,6.562677
5332.0,77.89116,35.6,7.652019
4615.0,73.10858,13.2,15.1472025
40.0,45.232647,96.0,3.9678328
2512.0,63.05181,28.7,21.097227
2438.0,78.07742,39.8,3.6585517
40.0,61.781464,26.9,2.8535175
40.0,79.82881,29.8,2.9266655
40.0,68.33052,42.4,2.9734936
2422.0,69.46684,18.1,6.5431404
39.0,63.57597,73.1,7.6658278
36.0,80.49266,34.8,2.1791902
703.0,46.922676,16.5,4.158887
604.0,54.611732,84.5,5.0342803
600.0,77.16919,48.0,8.930089
525.0,58.80494,90.2,3.607457
33.0,74.92737,51.7,1.9894038
33.0,50.439068,61.1,6.5239677
423.0,85.80153,25.4,3.1621146
32.0,63.499123,40.4,8.538408
31.0,59.929058,21.9,5.6299133
300.0,59.33162,81.3,6.563935
280.0,54.517525,30.7,2.9384
279.0,86.6311,16.8,3.750372
250.0,90.957634,29.8,5.3828936
28.0,70.33531,37.7,1.1051728
220.0,66.471466,31.0,8.4782715
25.0,53.50222,56.3,3.9004416
25.0,74.70968,46.4,1.4634212
25.0,67.49649,26.3,6.4296374
25.0,73.958374,62.7,3.136856
21.0,70.4733,53.8,3.3361459
21.0,85.57488,22.2,10.65782
21.0,70.64705,34.3,4.934049
20.0,51.63504,63.6,9.0281925
20.0,71.48068,47.0,10.23174
156.0,84.1945,13.7,1.0607024
20.0,86.07674,30.9,3.195258
156.0,71.21762,57.8,0.62371194
150.0,51.68382,31.2,6.9578094
150.0,83.686554,46.5,3.827927
20.0,43.447807,84.2,3.221399
144.0,63.13163,58.1,2.967795
19.0,59.224617,64.0,3.192178
130.0,73.00268,21.7,6.91048
18.0,75.41588,36.2,3.9473855
128.0,62.60417,48.2,4.18945
120.0,61.094048,91.6,1.6067345
103.0,59.388145,50.0,2.0117917
96.0,69.38719,64.9,2.0799546
15.0,79.9155,50.7,3.7102528
83.0,61.349426,72.2,3.5368712
80.0,77.50372,62.5,2.8228161
80.0,86.841385,26.7,4.500842
80.0,76.413055,36.2,8.193018